"as-needed basis","A-Z/-FRBD/PWA-EUSZ",5
"asses","SA*-SZ",5
"assignment","S*-PBT",74
"assignments","S*-PBTS",36
"assimilation","SA*-EUPLGS",3
"assimilations","SA*-EUPLGSZ",2
"associate's degree","A*-GD",12
"associate's degrees","A*-GDZ",1
"astronomical","STRO-BLG",5
"astronomically","STRO*-BLG",7
"asymmetries","SPHA-ERPLTS",2
"asymmetry","SPHA-ERPLT",16
"at gunpoint","TKPWO*-EUPT",2
"at gunpoint","TKPWO-EUPLTD",1
"at gunpoint","TKPWO-EUPTD",15
"at knifepoint","TPHO-EUFPTD",29
"at one point in time","TW-UPTD",7
"at some point in time","SPO*-EUPTD",32
"at some point in time","SPO-EUPTD",0
"at that point in time","TA*-PTD",35
"at the beginning","T*-EG",34
"at the point in time","T*-EPTD",8
"at this point in time","T*-EUPTD",19
"Atlanta","THRA-PBT",66
"Atlantis","THRA-PBTS",6
"audio sync","KWRA-UD/S*-EUPBG",0
"Augustinian","A-UG/ST*-EUPB",14
"aurora borealis","RA-UR/-P",12
"aurora borealis","RA*-UR/-P",0
"authorization","THO*-RGS",1
"authorizations","THO*-RGSZ",0
"authorize","THO*-RZ",26
"authorize","THO*-RSZ",9
"authorized","THO*-RDZ",47
"authorizing","THO*-RGZ",20
"authors","THO-RZ",47
"authors","THO-RSZ",4
"AutoCAD","AO/KA*-D",2
"automatism","AO-T/-EUFPL",10
"autonomous","A-UT/O-PB/PH-US",0
"avid","A/SR-EUD",3
"bachelor's degree","PW*-GD",42
"bachelor's degrees","PW*-GDZ",0
"backbencher","PWA-BG/PWR-EFRPBLG",0
"backbencher","PWA-BG/PW-EFPBLG/-ER",0
"backbencher","PWA-BG/PW-EFRPBLG/-ER",0
"bacterium","PWA-EBGT/KWR-UPL",3
"bad example","PWA-FRPL",2
"bad examples","PWA-FRPLZ",5
"bagpiper","PWA-G/PAO-EURP",1
"bagpipers","PWA-G/PAO-EURPZ",2
"Barcelona","PWA-RS",6
"batshit","PWA-T/SH-EUT",1
"Bayes","PWA*-EUZ",32
"Bayes' theorem","PWA*-EUZ/THAO-ERPL",4
"Bayesian","PWA-EUZ/KWRA-PB",1
"be like","PWHRAO-EUBG",17
"because she called","SKPRAO*-BLGD",46
"because she came","SKPRAO-FBGT",0
"because she came back","SKPRAO*-FBGT",1
"because she came out","SKPRAO*-FBGTD",0
"because she made","SKPRAO*-PBLGZ",26
"because she reviewed","SKPRAO*-FRP",0
"because she started","SKPRAO-FRSZ",69
"because she still","SKPRAO-FPLD",3
"because she talked","SKPRAO-RBGTD",4
"because she talks","SKPRAO-RBGTS",28
"because you use","SKPR-URBGZ",67
"Beethoven","PWA-EUT/HO*-EFPB",2
"before you review","PWR*-UFRP",11
"being able to ","TKPWA-EUBLT",67
"believability of the witness","PWHR-EUPBS",15
"believability of the witnesses","PWHR-EUPBSZ",13
"bencher","PWR-EFRPBLG",1
"Bethan Williams","PW*-ET/A-PB/W-EUPLZ",4
"Better Homes and Gardens","PW-ERT/HO-EPLZ/SKP/TKPWA-RPBDZ",0
"bewilder","PW*-EURLD",14
"bewildered","PW*-EURLTD",0
"bewildering","PW*-EURLGD",6
"bewilders","PW*-EURLDZ",0
"bicameral","PW*-EU/KA-RPL/A-L",0
"Birkenau","PW-ERBG/TPHO-E",0
"Birkenau","PW-ERBG/TPHO-U",3
"Birkenau","PW-EURBG/TPHO-U",10
"bitch","PW*-EUFP",61
"black-and-white situation","PWHRA-BG/SKP/WHAO-EUT/SWA-EUGS",0
"blood, sweat, and tears","PWHRAO-D/SW-ET/SKP/TAO-ERZ",0
"blood, sweat, and tears","PWHRAO-D/SW-ET/SKP/TA-ERZ",1
"bloodstream","PWHRAO*-RPLS",12
"bloodstreams","PWHRAO*-RPLSZ",4
"bluriness","PWHR-EURPBS",17
"blurinesses","PWHR-EURPBSZ",0
"Bolivia","PWHRA*-EF",33
"Bolivian","PWHRA*-EFPB",5
"Bolivians","PWHRA*-EFPBZ",0
"bona fide","PWO-EFD",11
"Brasília","PWRA-FL/KWRA",7
"broke down","PWRO-EBGD",5
"brother-in-law","PWRO-ER/TPH/HRA-U",3
"brothers-in-law","PWRO-ER/-Z/TPH/HRA-U",0
"brought to your attention","PWRA*-UPBGS",10
"Bulgarian","PWA*-URLG",11
"Bulgarians","PWA*-URLGZ",0
"bullet point","PW*-UPT",4
"bullet point","PWHRO-EUPT",9
"bullet points","PW*-UPTS",2
"bullet points","PWHRO-EUPTS",0
"busks","PW-UFBGS",0
"but might not","#2K3W4R-789D",52
"but she should say","TKPWHRAO-RBDZ",13
"Buzz Lightyear","PW-UZ/KWHRAO*-ER",1
"by questions","PW*-EUFPZ",8
"by virtue of the","W-EU/SR-EURT/-FT",0
"by what is","PW-EUFBS",0
"by which","PW-EUFP",130
"bypassing","PWA-EPGS",10
"C. S. Lewis","KR*/S*/HRAO*-US",1
"C. S. Lewis","KR*/S*/HRAO-US",3
"came on","KPHAO",19
"came out of","KPHO*-UFT",15
"campesino","KA-PL/P-ES/AO-EPB/O-E",0
"cardiac arrest","KA-RBGDZ",19
"cared about","KA*-EURBD",11
"carefully","KA*-EUFRL",140
"caring about","KA*-EURBDZ",10
"Carlsberg","KA*-RLZ/PW-ERG",0
"Carlsberg","KA-RLZ/PW-ERG",0
"cartography","KA-RT/TKPWRA-EF",1
"causalities","KA-UFLTZ",2
"causalities","KA-UFLTS",2
"causality","KA-UFLT",12
"cavity","KA*-F/T-EU",0
"censorship","KR*-EUP",38
"censorships","KR*-EUPZ",1
"centiliter","SHRAO-ERT",9
"centiliters","SHRAO-ERTS",1
"centric","STR/*-EUBG",0
"centurion","S-EPBT/AO-URPB",2
"champagne","SHA-FRP/A-EUPB",4
"Chapter","KHA*-RPT",118
"Chapter 11","KHA-RPT/HR-EF",0
"Chapters","KHA*-RPTS",9
"Charles Swann","KHA-RLZ/SWA-PB",0
"Charmander","KHA-R/PHA-PBD/-ER",2
"checkpoint","KHO-EUPT",8
"checkpoint","#K40-EU79",2
"checkpoints","KHO-EUPTS",0
"checkpoints","#K40-EU79S",2
"checks and balances","KH-EBGS/SK/WA-LZ",0
"Chelsea Football Club","KH-ELS/TP-BL/KHR-UB",4
"Cherokee","KHA-EURBG",0
"Chile","KHA-EL",24
"Chilean","KHA-EPBL",22
"Chileans","KHA-EPBLZ",0
"cholangiogram","KO-L/A-PBG/KWRO/TKPWRA-PL",4
"Chomsky","KHO-PL/SK-EU",2
"Chrome OS","KRO-EPL/O*/S*",0
"Chromium OS","KRO-EPL/KWR-UPL/O*/S*",0
"chronological","KRO*-LG",14
"chronological order","KRO-ERD",9
"chronological orders","KRO-ERDZ",0
"chronologically","KRO*-LGD",10
"chronologies","KRO-LGZ",0
"chronology","KRO-LG",9
"circularity","S-EURLG/A-R/T-EU",0
"circularity","S*-EURLG/T-EU",25
"civil rights","S*-EUFRLTS",14
